# GENERATED by scripts/k_roster.py from K commit 592380aea04820ea11cfa5475b343f0257f2474e
batch	family	prefix	base	shape	widths	k_variants	flags_cf_pf_af_zf_sf_of_df	k_undef	reads_flags	dest	k_destop	width_conflict
1	0xuxx0-|-|reg		and	al,imm	b	1	0xuxx0-	af	-	reg	and	0
1	0xuxx0-|-|reg		and	ax,imm	w	1	0xuxx0-	af	-	reg	and	0
1	0xuxx0-|-|reg		and	eax,imm	l	1	0xuxx0-	af	-	reg	and	0
1	0xuxx0-|-|reg		and	r,imm	blqw	8	0xuxx0-	af	-	reg	and	0
1	0xuxx0-|-|reg		and	r,m	blqw	5	0xuxx0-	af	-	reg	and	0
1	0xuxx0-|-|reg		and	r,r	blqw	7	0xuxx0-	af	-	reg	and	0
1	0xuxx0-|-|reg		and	rax,imm	q	1	0xuxx0-	af	-	reg	and	0
1	0xuxx0-|-|reg		or	al,imm	b	1	0xuxx0-	af	-	reg	or	0
1	0xuxx0-|-|reg		or	ax,imm	w	1	0xuxx0-	af	-	reg	or	0
1	0xuxx0-|-|reg		or	eax,imm	l	1	0xuxx0-	af	-	reg	or	0
1	0xuxx0-|-|reg		or	r,imm	blqw	8	0xuxx0-	af	-	reg	or	0
1	0xuxx0-|-|reg		or	r,m	blqw	5	0xuxx0-	af	-	reg	or	0
1	0xuxx0-|-|reg		or	r,r	blqw	7	0xuxx0-	af	-	reg	or	0
1	0xuxx0-|-|reg		or	rax,imm	q	1	0xuxx0-	af	-	reg	or	0
1	0xuxx0-|-|reg		xor	al,imm	b	1	0xuxx0-	af	-	reg	xor	0
1	0xuxx0-|-|reg		xor	ax,imm	w	1	0xuxx0-	af	-	reg	xor	0
1	0xuxx0-|-|reg		xor	eax,imm	l	1	0xuxx0-	af	-	reg	xor	0
1	0xuxx0-|-|reg		xor	r,imm	blqw	8	0xuxx0-	af	-	reg	xor	0
1	0xuxx0-|-|reg		xor	r,m	blqw	5	0xuxx0-	af	-	reg	xor	0
1	0xuxx0-|-|reg		xor	r,r	blqw	7	0xuxx0-	af	-	reg	xor	0
1	0xuxx0-|-|reg		xor	rax,imm	q	1	0xuxx0-	af	-	reg	xor	0
2	xxxxxx-|-|flags/ctl		cmp	al,imm	b	1	xxxxxx-	-	-	flags/ctl	-	0
2	xxxxxx-|-|flags/ctl		cmp	ax,imm	w	1	xxxxxx-	-	-	flags/ctl	-	0
2	xxxxxx-|-|flags/ctl		cmp	eax,imm	l	1	xxxxxx-	-	-	flags/ctl	-	0
2	xxxxxx-|-|flags/ctl		cmp	m,imm	blqw	7	xxxxxx-	-	-	flags/ctl	-	0
2	xxxxxx-|-|flags/ctl		cmp	m,label	q	1	xxxxxx-	-	-	flags/ctl	-	0
